[(0, 0.29165618086956524, FORWARD), (0.29380056758831524, 0.5854567484578805, FORWARD), (0.5876011351766305, 0.8792573160461958, FORWARD), (0.8814017027649458, 1.1730578836345111, FORWARD), (1.1752022703532612, 1.4668584512228264, FORWARD), (1.4690028379415765, 1.7606590188111417, FORWARD)]
[(0.29380056758831524, 0.6015561988926631, FORWARD), (0.6154344211148856, 0.9231900524192335, FORWARD), (0.9370682746414559, 1.244823905945804, FORWARD), (1.258702128168026, 1.566457759472374, FORWARD), (1.580335981694596, 1.8880916129989442, FORWARD), (1.9019698352211662, 2.2097254665255144, FORWARD)]
[(0.6154344211148856, 0.9587575793757551, FORWARD), (0.983245579375755, 1.3265687376366244, FORWARD), (1.3510567376366245, 1.694379895897494, FORWARD), (1.7188678958974941, 2.062191054158364, FORWARD), (2.0866790541583615, 2.4300022124192315, FORWARD), (2.454490212419229, 2.797813370680099, FORWARD)]
[(0.983245579375755, 1.2818902819844504, FORWARD), (1.3510567376366245, 1.64970144024532, FORWARD), (1.7188678958974941, 2.01751259850619, FORWARD), (2.0866790541583615, 2.3853237567670575, FORWARD), (2.454490212419229, 2.753134915027925, FORWARD), (2.822301370680097, 3.120946073288793, FORWARD)]
[(1.3455926569844467, 1.580745797854012, FORWARD), (1.9426035756317868, 2.177756716501352, FORWARD), (2.539614494279127, 2.774767635148692, FORWARD), (3.1374088178057, 3.372561958675265, FORWARD), (3.7344197364530403, 3.9695728773226056, FORWARD), (4.331430655100388, 4.566583795969954, FORWARD)]
[(1.9426035756317868, 2.213694664327439, FORWARD), (2.539614494279127, 2.8107055829747796, FORWARD), (3.1374088178057, 3.408499906501352, FORWARD), (3.7344197364530403, 4.005510825148693, FORWARD), (4.331430655100388, 4.602521743796041, FORWARD), (4.928441573747736, 5.199532662443389, FORWARD)]
[(2.2354713309941054, 2.520524437081062, FORWARD), (2.832482249641446, 3.1175353557284025, FORWARD), (3.4302765731680185, 3.715329679254975, FORWARD), (4.027287491815363, 4.3123405979023195, FORWARD), (4.624298410462711, 4.909351516549668, FORWARD), (5.221309329110059, 5.5063624351970155, FORWARD)]
[(2.5423011037477283, 2.827354209834685, FORWARD), (3.139312022395069, 3.4243651284820253, FORWARD), (3.7371063459216414, 4.022159452008598, FORWARD), (4.33411726456899, 4.619170370655946, FORWARD), (4.931128183216338, 5.216181289303295, FORWARD), (5.528139101863686, 5.813192207950642, FORWARD)]
[(2.954705798376346, 3.189858939245911, FORWARD), (3.5517167170236865, 3.7868698578932514, FORWARD), (4.149511040550283, 4.384664181419848, FORWARD), (4.746521959197631, 4.981675100067196, FORWARD), (5.3435328778449795, 5.578686018714545, FORWARD), (5.940543796492327, 6.175696937361892, FORWARD)]
[(3.2514447170236864, 3.5225358057193388, FORWARD), (3.848455635671027, 4.119546724366679, FORWARD), (4.446249959197628, 4.717341047893281, FORWARD), (5.043260877844976, 5.314351966540629, FORWARD), (5.640271796492325, 5.911362885187978, FORWARD), (6.237282715139672, 6.508373803835325, FORWARD)]
[(3.6107789307193383, 3.895832036806295, FORWARD), (4.207789849366683, 4.492842955453639, FORWARD), (4.805584172893284, 5.090637278980241, FORWARD), (5.402595091540633, 5.687648197627589, FORWARD), (5.999606010187981, 6.284659116274938, FORWARD), (6.596616928835329, 6.881670034922285, FORWARD)]
[(3.917608703472961, 4.202661809559918, FORWARD), (4.51461962212031, 4.799672728207266, FORWARD), (5.112413945646911, 5.397467051733868, FORWARD), (5.7094248642942595, 5.994477970381216, FORWARD), (6.306435782941608, 6.591488889028565, FORWARD), (6.903446701588956, 7.188499807675912, FORWARD)]
[(4.290904934559921, 4.575958040646878, FORWARD), (4.88791585320727, 5.172968959294226, FORWARD), (5.485710176733871, 5.770763282820828, FORWARD), (6.08272109538122, 6.367774201468176, FORWARD), (6.679732014028568, 6.964785120115525, FORWARD), (7.276742932675916, 7.561796038762872, FORWARD)]
[(4.597734707313548, 4.882787813400505, FORWARD), (5.194745625960897, 5.479798732047853, FORWARD), (5.792539949487498, 6.077593055574455, FORWARD), (6.3895508681348465, 6.674603974221803, FORWARD), (6.986561786782195, 7.2716148928691515, FORWARD), (7.5835727054295425, 7.868625811516499, FORWARD)]
[(4.935672943608854, 5.191398995782784, FORWARD), (5.532683862256202, 5.788409914430132, FORWARD), (6.1304781857828035, 6.386204237956734, FORWARD), (6.727489104430152, 6.983215156604082, FORWARD), (7.3245000230775, 7.5802260752514306, FORWARD), (7.921510941724848, 8.177236993898777, FORWARD)]
[(5.242208329116121, 5.5384880369422085, FORWARD), (5.839219247763469, 6.135498955589557, FORWARD), (6.437013571290071, 6.733293279116158, FORWARD), (7.034024489937419, 7.330304197763507, FORWARD), (7.631035408584768, 7.927315116410855, FORWARD), (8.228046327232091, 8.524326035058177, FORWARD)]
[(5.634226970275543, 5.898057809927717, FORWARD), (6.231237888922892, 6.495068728575066, FORWARD), (6.829032212449493, 7.092863052101667, FORWARD), (7.426043131096842, 7.689873970749016, FORWARD), (8.023054049744188, 8.286884889396362, FORWARD), (8.620064968391503, 8.883895808043677, FORWARD)]
